year,united_states,russia,iran,china,canada,afghanistan,albania,algeria,angola,argentina,australia,austria,azerbaijan,bahrain,bangladesh,barbados,belarus,belgium,bolivia,bosnia_and_herzegovina,brazil,brunei,bulgaria,cameroon,chile,colombia,congo,cote_divoire,croatia,cuba,czechia,czechoslovakia,denmark,east_timor,ecuador,egypt,equatorial_guinea,france,gabon,georgia,germany,ghana,greece,hungary,india,indonesia,iraq,ireland,israel,italy,japan,jordan,kazakhstan,kuwait,kyrgyzstan,libya,malaysia,mexico,moldova,morocco,mozambique,myanmar,netherlands,new_zealand,nigeria,norway,oman,pakistan,papua_new_guinea,peru,philippines,poland,qatar,romania,saudi_arabia,senegal,serbia,slovakia,slovenia,south_africa,south_korea,spain,switzerland,syria,taiwan,tajikistan,tanzania,thailand,trinidad_and_tobago,tunisia,turkey,turkmenistan,ussr,ukraine,united_arab_emirates,united_kingdom,uzbekistan,venezuela,vietnam,world,yemen,yugoslavia
2004,18.1119622,20.9727738,3.2774445,1.50430079,6.36246684,0.0007809,0.001168,3.31397748,0.02928381,1.57124873,1.29349116,0.07422973,0.16381764,0.333716,0.44424832,0.00117135,0.0069677,0,0.33911568,0,0.40916799,0.42936559,0.0124428,0,0.06396066,0.22085351,0,0.04852852,0.06213799,0.01444668,0.00756084,,0.3539543,0,0.00824161,1.14345,0.00390451,0.05241812,0.00390451,0.00074659,0.61680658,0,0.00133786,0.110138,1.01295943,2.72500862,0.0342,0.03207626,0.02496088,0.44769449,0.1324087,0.01210398,0.59046912,0.37277998,0.00113231,0.27565196,2.16511992,1.33297362,0,0.0015618,0.04529229,0.36077401,2.57820012,0.15761831,0.82419109,2.82906108,0.6716713,1.10435735,0.00546631,0.029799,0.08425832,0.1643562,1.4594742,0.4344831,2.246256,0.00167629,0.00937082,0.00660858,0.00019989,0.07926152,0,0.01441871,0,0.213759,0.03169849,0.00152276,0.00464362,0.83331259,1.02883194,0.10507489,0.02637553,1.895355,,0.69719069,1.62477893,3.63287304,1.936935,1.13506369,0.1445184,96.9569244,0,
2005,17.6198688,21.2210701,3.47805086,1.78948674,6.44948784,0.0007809,0.001168,3.056823,0.0253793,1.59750626,1.37647001,0.06534334,0.20150623,0.36627426,0.47748089,0.00102889,0.00665803,0,0.41837692,0,0.40469186,0.42153991,0.11798642,0.0007809,0.07518799,0.23206838,0.00468541,0.04852852,0.05829166,0.01561803,0.00717344,,0.39286832,0,0.01260481,1.472625,0.05075861,0.04232867,0.00390451,0.00055995,0.59553626,0,0.00085146,0.10851728,1.02643693,2.7457119,0.04959,0.0215232,0.02570599,0.4169634,0.14216258,0.01093262,0.68339718,0.42065996,0.00117135,0.38646,2.43719928,1.59522804,0,0.00178355,0.08628962,0.431514,2.35199988,0.15028456,0.8274235,3.06715608,0.75057829,1.17396673,0.00390451,0.05255892,0.08042839,0.16263,1.706508,0.4061745,2.43640789,0.00167629,0.00976127,0.00588216,0.00015991,0.07262385,0.02053123,0.00672605,0,0.206973,0.02983387,0.00160085,0.01592097,0.88263864,1.08037242,0.10945302,0.03438786,2.047815,,0.70826368,1.67742893,3.32420494,1.9663875,1.09566324,0.2237256,99.2796624,0,
2006,18.062064,21.7721232,3.78998172,2.12448924,6.45830604,0.0007809,0.001168,2.92678164,0.02655065,1.61396093,1.46456017,0.07550002,0.23776056,0.38747545,0.51708125,0.00104891,0.00658061,0,0.44803051,0,0.41322494,0.44122055,0.01740611,0.0007809,0.0722149,0.24352855,0.00702812,0.04852852,0.0597468,0.01561803,0.00685851,,0.39034652,0.16363674,0.01357441,1.895355,0.05075861,0.04669524,0.00390451,0.0003733,0.58831956,0,0.00121025,0.11091842,1.01472516,2.7142956,0.04959,0.01911501,0.03668,0.37924033,0.15672312,0.01249443,0.71465234,0.424422,0.00101517,0.451269,2.42877204,1.7442792,0.00195225,0.00260226,0.10073631,0.445662,2.32210008,0.154191,0.96809425,3.16811822,0.87449249,1.19950128,0.00546631,0.06151119,0.08425832,0.1624626,1.889082,0.4001904,2.5123662,0.00167629,0.00739134,0.00819693,0.00015991,0.11323074,0.01829413,0.00293741,0,0.21206249,0.01603571,0.00140562,0.01968009,0.90612936,1.28016972,0.10945302,0.03469456,2.03742,,0.71868938,1.71252893,3.01494312,2.03742,1.25802072,0.24318,102.665376,0,
2007,18.7879993,21.6580727,4.24851948,2.51224776,6.28844796,0.0015618,0.0003856,2.93925542,0.03240742,1.56949826,1.53904262,0.07395631,0.38079162,0.40315057,0.55210936,0.00073564,0.00619351,0,0.47988695,0,0.41607846,0.43011461,0.01103107,0.0007809,0.06955477,0.26128382,0.01132307,0.05599445,0.077028,0.0221964,0.00763068,,0.34614612,0.22303373,0.01333201,1.92965846,0.11401164,0.04156455,0.00312361,0.00034868,0.5389105,0,0.0010267,0.09332613,1.04272236,2.61284854,0.16354645,0.01719598,0.04310845,0.33525626,0.16651367,0.00781275,0.81034855,0.38509196,0.00071843,0.52257596,2.4346332,1.6869087,0,0.00249617,0.10307901,0.4782024,2.23210008,0.16979072,1.21083228,3.22676654,0.88583461,1.21680911,0.00531013,0.09270717,0.11150037,0.163147,2.354832,0.3865563,2.545164,0.00167629,0.00368448,0.00505982,0.00011993,0.05973898,0.01478567,0.00072429,0,0.20358,0.01417109,0.0007809,0.02069389,0.96851491,1.35732042,0.06917431,0.03423452,2.2176,,0.71903009,1.76517893,2.71774202,2.12058,1.34089776,0.2459592,105.403126,0,
2008,19.6584275,22.012308,4.44842712,2.91353976,5.9936976,0.00195225,0.00113108,2.97362808,0.02655065,1.5425406,1.5005844,0.06128891,0.57429328,0.43263277,0.58955112,0.00066458,0.00588384,0,0.49651265,0,0.51753845,0.42659989,0.00411036,0.0007809,0.06779438,0.31387912,0.01444668,0.05972741,0.07718004,0.04291304,0.0074657,,0.37764414,0.25651908,0.01083044,2.04331032,0.23231824,0.03609302,0.00312361,0.00027179,0.49086245,0,0.00068133,0.09343835,1.05810696,2.69387798,0.2324745,0.01648105,0.05445278,0.31734637,0.16574704,0.00656271,0.9042871,0.43433998,0.00117135,0.54378,2.49138252,1.70030074,0,0.00238298,0.12148054,0.43858798,2.55269988,0.16014692,1.18005192,3.57583752,0.86890738,1.24587396,0.00507586,0.12592597,0.11325758,0.154487,2.8683121,0.37650059,2.751048,0.00167629,0.00370686,0.00407009,0.00011982,0.05310131,0.00906353,0.00065236,0,0.200187,0.01156063,0.00117135,0.02189134,1.07272584,1.34638254,0.11972966,0.03902617,2.2176,,0.73061417,1.763424,2.61974016,2.19681,1.20323556,0.26051526,109.261116,0,
2009,20.07297,19.302831,4.8864816,3.093831,5.58182952,0.00117135,0.00113108,2.75640732,0.02694111,1.45084284,1.68111331,0.06238878,0.57380818,0.43680616,0.67488257,0.00063755,0.00580642,0,0.42773702,0,0.44196993,0.40062994,0.00037367,0.0007809,0.07572956,0.3640255,0.02069389,0.05972741,0.07509409,0.04291304,0.0084579,,0.31524304,0.25809282,0.01165669,2.17220846,0.24481267,0.03432685,0.00312361,0.00033973,0.45886207,0,0.00054559,0.10647769,1.30139784,2.80958598,0.24669828,0.01472712,0.04462103,0.2747662,0.15960715,0.00687522,0.93649356,0.3929238,0.00060129,0.54378,2.38196484,1.8929898,0,0.00238298,0.11073737,0.40868543,2.358,0.16731241,0.8349098,3.72471192,0.86090292,1.24925998,0.00390451,0.12908879,0.12134741,0.15407,3.32731778,0.3742344,2.68299,0.00167629,0.00704303,0.0040831,0.00011982,0.04138779,0.02088811,0.0005743,0,0.22088429,0.01156063,0.00148371,0.02569166,1.05803028,1.38809556,0.07296656,0.02624769,1.199583,,0.7321473,1.71428389,2.203407,2.103255,1.14465409,0.2782674,105.872476,0.0281484,
2010,20.7056664,21.5419237,5.18076576,3.47560236,5.38527888,0.00554045,0.00037255,2.7862758,0.02865909,1.40389178,1.89451825,0.06504919,0.58611208,0.44743162,0.69313421,0.00063055,0.00104516,0,0.49372207,0,0.54073987,0.43111253,0.00188513,0.00819947,0.07296078,0.39036195,0.03631193,0.06178055,0.07204432,0.03958358,0.00943469,,0.3072938,0.23566705,0.01299563,2.12473786,0.26316385,0.02902475,0.00312361,0.00017528,0.40046371,0,0.00032727,0.10405575,1.70745073,3.13201836,0.25686932,0.0104337,0.05953722,0.28823634,0.14701374,0.00687522,0.9808866,0.4012686,0.00046854,0.57503876,2.34295402,1.8424013,0,0.00270183,0.12891814,0.43948357,2.70959976,0.17949122,1.11263994,3.82303332,0.92511936,1.27254222,0.00429496,0.26333806,0.11038906,0.15461699,4.432005,0.3608442,2.99797186,0.00167629,0.01297401,0.00411147,0.00027955,0.03787373,0.02255656,0.00207577,0,0.3033342,0.00969601,0.00160085,0.03045516,1.2137436,1.45054908,0.08047277,0.02615632,1.44460174,,0.6994053,1.79999813,2.08443348,2.05717032,1.09626264,0.32662546,113.407546,0.22519079,
2011,22.224906,22.2057972,5.435505,3.8219616,5.43856788,0.00630182,0.00037255,2.865555,0.0293619,1.35784238,1.9602545,0.06409539,0.57516865,0.45446684,0.70495736,0.00064456,0.00116017,0,0.54122404,0,0.62017074,0.44923648,0.0131959,0.00585676,0.06223586,0.37965048,0.04490184,0.0608473,0.06865893,0.03810382,0.00881854,,0.24685643,0.21874941,0.00949075,2.12915786,0.26863014,0.02398573,0.00273316,0.00010518,0.3767562,0,0.00029925,0.09848636,1.54560211,2.97644544,0.22686912,0.00866924,0.09983588,0.28972177,0.14685322,0.00621895,1.03225561,0.46282856,0.00039045,0.268641,2.41024198,1.87556353,0,0.00231586,0.15784207,0.45180086,2.50189981,0.16207368,1.31132934,3.61824786,0.97660361,1.27222722,0.00390451,0.41329946,0.12158234,0.161185,5.4128124,0.362862,3.155292,0.00134103,0.01927567,0.00478523,0.0000799386,0.0499777,0.01891513,0.00211678,0,0.2670291,0.01081478,0.00074186,0.01952254,1.21693986,1.3926677,0.0765086,0.0291199,2.02721242,,0.70359599,1.8360108,1.65897108,2.03915232,1.08851033,0.2945952,117.272232,0.3392289,
2012,23.3684928,21.6667775,5.649687,4.01321088,5.4109872,0.00625887,0.00063334,2.823975,0.02967426,1.32088327,2.09828891,0.06888769,0.6061288,0.46986674,0.76810601,0.00073764,0.00077344,0,0.60694106,0,0.71398256,0.44104594,0.01435346,0.01062026,0.04908413,0.41492329,0.0456437,0.06644675,0.06451276,0.0382518,0.00995849,,0.215683,0.21599537,0.02035983,2.10953448,0.24871717,0.02101724,0.01503236,0.0000701178,0.34060939,0,0.00032127,0.08232091,1.34164159,2.81878441,0.22828843,0.00790269,0.05260583,0.29504894,0.14002247,0.00562518,1.04469926,0.530613,0.00023427,0.41723998,2.49302592,1.8306067,0,0.00304921,0.20205438,0.45039965,2.46250008,0.17906664,1.4097708,4.09905144,1.01959164,1.31750035,0.00390451,0.4304907,0.10614332,0.163569,5.85166788,0.36352708,3.39708582,0.00160924,0.02083255,0.00592205,0.0000800442,0.04294958,0.01821838,0.00241105,0,0.2188485,0.01480506,0.00058568,0.02264615,1.38419485,1.38716665,0.07373367,0.02424376,2.1226104,,0.69814469,1.90593,1.41092579,2.0349945,1.14857028,0.32499266,119.742779,0.2742084,
2013,23.6049379,22.1218646,5.6710098,4.3851852,5.46913224,0.00603241,0.00070785,2.85619943,0.0361167,1.2440106,2.18075688,0.05543482,0.62908434,0.50248188,0.7903003,0.00086475,0.00146954,0,0.70470587,0,0.79018538,0.4284473,0.01048131,0.0000000000000000019656,0.03828285,0.47604514,0.06442438,0.07630177,0.05629652,0.03943561,0.00958712,,0.17904906,0.25376506,0.02028107,1.94273424,0.25574526,0.01347129,0.01241634,0.00021033,0.30974848,0,0.00027023,0.07190451,1.11827268,2.7944514,0.25461558,0.00675669,0.1747128,0.26522982,0.12788941,0.00518766,1.09604038,0.55784297,0.00124944,0.43776,2.6131896,1.88956944,0,0.00374396,0.21816914,0.46299391,2.60659994,0.18733295,1.19158452,3.8854944,1.1082924,1.28108617,0.00429496,0.4463685,0.13547748,0.160067,6.04401156,0.3600684,3.421026,0.00201155,0.02298252,0.00486007,0.0001199,0.04607319,0.01934427,0.00236139,0,0.179829,0.01279127,0.00050759,0.0253793,1.40165089,1.39490136,0.07333726,0.0206092,2.1226104,,0.72570794,1.91646,1.33129368,2.01247186,1.10125764,0.33874972,121.164984,0.3727071,
2014,25.3701526,21.2815847,6.3162216,4.7225106,5.7236976,0.00554045,0.00119216,2.8862064,0.02854196,1.24149168,2.34987912,0.05051806,0.66182677,0.52907494,0.82880172,0.00055448,0.00116017,0,0.73533686,0,0.8405163,0.45677326,0.00678646,0.01831214,0.0312745,0.44398202,0.05856762,0.07693637,0.05313935,0.0443928,0.00986743,,0.17282357,0.24786353,0.02276205,1.69059769,0.24051769,0.00070853,0.01639893,0.0000350589,0.29097875,0.00195225,0.00025321,0.06692034,1.05678792,2.75038488,0.27111002,0.00571577,0.30334748,0.24514402,0.11936009,0.00453139,1.17984967,0.51398417,0.00132753,0.42579,2.5982676,1.84679298,0,0.00374396,0.23139151,0.59555491,2.17389996,0.20420977,1.43937115,3.86968068,1.05656681,1.25952077,0.18546413,0.47258028,0.10421345,0.15601399,6.09930792,0.3669948,3.501396,0.00201155,0.02224115,0.0039033,0.0001199,0.03709283,0.01344326,0.00096881,0,0.166257,0.01271669,0.00046854,0.02147479,1.40731171,1.37041931,0.06584497,0.01837271,2.2861503,,0.7278885,1.90398517,1.34753458,2.0266785,1.14437448,0.3546954,123.681658,0.3514203,
2015,26.6509141,21.0398238,6.60772404,4.88407932,5.78720376,0.00570834,0.00130393,2.93080068,0.03018185,1.27768118,2.67471648,0.0483038,0.67622591,0.52503646,0.93074623,0.0006926,0.00116017,0,0.72337144,0,0.85696182,0.47849227,0.00393442,0.02655065,0.03945518,0.41797138,0.05856762,0.07701103,0.05131352,0.0462425,0.00953707,,0.17256762,0.30294436,0.01957221,1.5332625,0.24207952,0.00089075,0.01475904,0.00035055,0.27087959,0.02792078,0.00021919,0.06374127,1.01314008,2.74183902,0.26283949,0.00499316,0.32638655,0.23218877,0.11802512,0.0047189,0.97715628,0.5782878,0.00117135,0.5298606,2.76645636,1.72609002,0,0.00362817,0.23531692,0.69180055,1.65139992,0.18827719,1.71235019,4.18071168,1.10689632,1.26171245,0.3826418,0.45564178,0.10035369,0.154197,6.33112128,0.3678201,3.57218986,0.0020786,0.02224115,0.00366204,0.00011973,0.04294958,0.00784886,0.00252113,0,0.145899,0.01253023,0.0007809,0.04294958,1.34918161,1.29441082,0.06243577,0.01459624,2.3713272,,0.67800881,2.10955453,1.46380255,1.930005,1.29834036,0.37032839,126.282204,0.1028286,
2016,26.1848196,21.2139122,7.17630912,4.96589796,5.941305,0.0064541,0.00167646,3.29012136,0.06688391,1.34216489,3.3868692,0.04535852,0.65799144,0.51988936,0.95223406,0.00067053,0.00085079,0,0.68038211,0,0.86844874,0.46594242,0.00350631,0.02811245,0.04724438,0.43171621,0.05466315,0.08623138,0.04606429,0.04402288,0.00841734,,0.16920369,0.2482155,0.02154123,1.449063,0.22661778,0.00084834,0.01479808,0.00022308,0.24922949,0.02483332,0.00049316,0.06622327,0.95696334,2.70287856,0.35624081,0.11608992,0.36555264,0.19835147,0.12157378,0.00400013,1.11345228,0.5913522,0.00106154,0.5325102,2.76103728,1.5714513,0.00036957,0.00331939,0.23924226,0.6580827,1.59429996,0.19253372,1.53493265,4.17207312,1.13319007,1.24843273,0.42927088,0.50466362,0.1198839,0.14874499,6.2916678,0.3258999,3.791412,0.00201155,0.02038774,0.00362308,0.00019954,0.03791282,0.0064294,0.00219582,0,0.1272375,0.0107775,0.00074168,0.05867542,1.34185342,1.1261412,0.05426964,0.0140599,2.275929,,0.68482303,2.14274952,1.50257473,1.912464,1.34059439,0.3685914,127.601042,0.0180405,
2017,26.8621452,22.8801924,7.69860252,5.37118164,6.16566492,,,3.34715508,,1.33739604,3.97060704,,0.63931057,0.52078766,0.95733623,,,,0.66936582,,0.97853112,0.46277665,,,,0.4230891,,,,,,,0.18180103,,,1.75725526,,,,,0.2295418,,,,0.99695963,2.61737953,0.36424073,,,0.1898301,,,1.30961347,0.58487904,,0.4893768,2.86499178,1.37766391,,,,0.64076011,1.36569996,,1.69940225,4.45468176,1.16364287,1.24745393,,0.46838689,,0.14543999,6.13929168,0.36041044,3.93300756,,,,,,,,,0.125541,,,,1.29407454,1.14742541,,,2.11238928,,0.6984513,1.95348456,1.50784729,1.9298448,1.3897939,0.34274482,132.187428,0.01082403,
2018,30.2736996,24.0878088,8.09636292,5.8110786,6.36396552,,,3.378375,,1.41923837,4.58646696,,0.67530481,0.52730838,0.95694372,,,,0.62393191,,0.90584485,0.45234979,,,,0.4455482,,,,,,,0.1545394,,,2.1080997,,,,,0.19950386,,,,0.9896935,2.62086012,0.38065446,,,0.18681109,,,1.41042161,0.60663208,,0.47469506,2.740284,1.36363799,,,,0.61098152,1.1691,,1.73770391,4.36632732,1.30797522,1.23120374,,0.46121346,,0.14332699,6.30730332,0.35847536,4.0356,,,,,,,,,0.1248624,,,,1.25021218,1.22260014,,,2.21460156,,0.70867256,1.90512158,1.4630035,2.0982654,1.13828753,0.3477474,138.80952,0.00360801,
2019,33.411996,24.444967,8.38440252,6.36269184,6.1065702,,,3.13028086,,1.49814936,5.25968568,,0.86177567,0.5855747,0.91023959,,,,0.5434196,,0.92687497,0.4672849,,,,0.45425592,,,,,,,0.11529204,,,2.33779306,,,,,0.19190732,,,,0.96859886,2.43300366,0.39480671,,,0.16636491,,,1.20585521,0.47715836,,0.4852867,2.78931071,1.32159398,,,,0.66534858,0.99819997,,1.77404929,4.11335424,1.32084702,1.17696348,,0.48584851,,0.14346698,6.3774882,0.3464131,4.2014,,,,,,,,,0.1197729,,,,1.28781673,1.24419204,,,2.27387448,,0.6984513,2.0230853,1.41447283,2.06850276,0.92074385,0.354348,142.863523,0.00360801,
2020,32.979762,22.9840787,8.98308792,6.98433192,5.962068,,,2.93128596,,1.37853094,5.25110256,,0.93113449,0.59172048,0.8543124,,,,0.52895286,,0.8725082,0.45506844,,,,0.44838112,,,,,,,0.04966894,,,2.1047557,,,,,0.16316713,,,,0.85538254,2.1433711,0.25219273,,,0.14083527,,,1.10211156,0.4405986,,0.44459996,2.59904354,1.27891008,,,,0.63024707,0.7227,,1.77952093,4.01361192,1.32949458,1.101087,,0.43801434,,0.141436,6.29765424,0.30946759,4.0698,,,,,,,,,0.105183,,,,1.17725681,1.06074954,,,2.3765274,,0.68823007,1.81982891,1.42457047,1.69564219,0.77619913,0.3182184,138.9816,0.00469041,
2021,33.9891084,25.2762066,9.2394054,7.5316644,6.20455392,,,3.6395321,,1.38990575,5.3359614,,1.14509938,0.62021696,0.84999524,,,,0.54538913,,0.87597637,0.41524952,,,,0.45239191,,,,,,,0.05254398,,,2.44077948,,,,,0.16332539,,,,1.02739723,2.13450995,0.32785054,,,0.11462905,,,0.96103807,0.4352979,,0.52107116,2.80903968,1.38125203,,,,0.61825129,0.64959998,,1.62632351,4.11532128,1.44840949,1.17584694,,0.41338924,,0.139834,6.3712944,0.31088471,4.12058448,,,,,,,,,0.11071349,,,,1.13493384,0.89002789,,,2.85420938,,0.6746018,2.10044196,1.18027332,1.8330786,1.01012782,0.2591604,145.923131,0.00469041,
2022,35.2278252,22.2612538,9.33835068,7.98629148,6.66058896,,,3.5343,,1.49730552,5.50135224,,1.22892397,0.61591846,0.83746912,,,,0.48242653,,0.82735427,0.38135156,,,,0.44756202,,,,,,,0.05266484,,,2.32157462,,,,,0.1532619,,,,1.07286948,2.07792216,0.33943673,,,0.11369174,,,0.93460896,0.48066246,,0.53362717,2.96811504,1.45264813,,,,0.60747624,0.54259996,,1.4538119,4.42253808,1.51534159,1.03251103,,0.49809326,,0.14404267,6.42279816,0.31789555,4.33287828,,,,,,,,,0.11045201,,,,0.92315063,0.93527579,,,2.81765484,,0.63030974,2.08786572,1.37359159,1.76025233,1.05039425,0.28069916,145.577376,0.00469041,
